input_id	dealiased_id	standard_id	short_id
doi:10.1038/nmicrobiol.2016.48	doi:10.1038/nmicrobiol.2016.48	doi:10.1038/nmicrobiol.2016.48	g228aulb
doi:10.1038/s41587-020-0718-6	doi:10.1038/s41587-020-0718-6	doi:10.1038/s41587-020-0718-6	hMM4KrP3
doi:10.1038/s41564-021-00928-6	doi:10.1038/s41564-021-00928-6	doi:10.1038/s41564-021-00928-6	1EDN9Tt7p
doi:10.1038/nature02340	doi:10.1038/nature02340	doi:10.1038/nature02340	F7RexqdF
doi:10.1016/j.cell.2019.01.001	doi:10.1016/j.cell.2019.01.001	doi:10.1016/j.cell.2019.01.001	1FDpZ7jSj
doi:10.1038/s41587-020-0603-3	doi:10.1038/s41587-020-0603-3	doi:10.1038/s41587-020-0603-3	x94unSVP
doi:10.1038/s41564-017-0012-7	doi:10.1038/s41564-017-0012-7	doi:10.1038/s41564-017-0012-7	wrBRBdFb
doi:10.1093/nar/gkz1002	doi:10.1093/nar/gkz1002	doi:10.1093/nar/gkz1002	EsN8kZ60
doi:10.1101/gr.186072.114	doi:10.1101/gr.186072.114	doi:10.1101/gr.186072.114	iTI5DiYU
doi:10.1093/bioinformatics/btv351	doi:10.1093/bioinformatics/btv351	doi:10.1093/bioinformatics/btv351	S53q1T30
doi:10.7717/peerj.243	doi:10.7717/peerj.243	doi:10.7717/peerj.243	bKxX6Whi
doi:10.3389/fmicb.2017.02264	doi:10.3389/fmicb.2017.02264	doi:10.3389/fmicb.2017.02264	We2Hi8xm
doi:10.1186/s13059-022-02619-9	doi:10.1186/s13059-022-02619-9	doi:10.1186/s13059-022-02619-9	SOBt1t7t
doi:10.1186/s13059-021-02393-0	doi:10.1186/s13059-021-02393-0	doi:10.1186/s13059-021-02393-0	HDwM5UZ7
doi:10.1186/s13059-020-02023-1	doi:10.1186/s13059-020-02023-1	doi:10.1186/s13059-020-02023-1	XxzzVxWw
doi:10.1038/s41586-019-1058-x	doi:10.1038/s41586-019-1058-x	doi:10.1038/s41586-019-1058-x	ecAUFQCt
doi:10.12688/f1000research.12232.1	doi:10.12688/f1000research.12232.1	doi:10.12688/f1000research.12232.1	3aGrLq0Q
doi:10.1128/mSystems.00020-16	doi:10.1128/mSystems.00020-16	doi:10.1128/msystems.00020-16	mAjlUXL2
doi:10.1101/2022.01.11.475838	doi:10.1101/2022.01.11.475838	doi:10.1101/2022.01.11.475838	IadOz4ol
doi:10.1093/bioinformatics/bty597	doi:10.1093/bioinformatics/bty597	doi:10.1093/bioinformatics/bty597	iMYJIG48
doi:10.1002/0471250953.bi1003s00	doi:10.1002/0471250953.bi1003s00	doi:10.1002/0471250953.bi1003s00	NV3AwVUt
